name,age,salary,gender,department,position,joining_date,performance_score,email,phone_number
 hannah ,35,SIXTY THOUSAND,Female,Sales,Director,2020-01-15,C,email@example.com,(098) 765-4321
 charlie ,40,55000,Female,Sales,Assistant,2020-01-15,C,name@company.org,(123) 456-7890
 frank ,50,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,(123) 456-7890
 frank ,25, NAN ,Male,Sales,Analyst,2020-01-15,F,email@example.com,(123) 456-7890
 eve ,50,50000,Other,Sales,Clerk,2020-01-15,C,email@example.com,(123) 456-7890
 hannah ,thirty,65000,Female,Sales,Clerk,2020-01-15,A,name@company.org,Invalid
 hannah ,35, NAN ,Female,Sales,Assistant,2020-01-15,D,user@domain.com,Invalid
 ivy ,50,SIXTY THOUSAND,Other,IT,Director,2020-01-15,C,name@company.org,(098) 765-4321
 charlie ,50,50000,Male,Sales,Analyst,2020-01-15,A,user@domain.com,(098) 765-4321
 alice ,25,65000,Other,HR,Assistant,2020-01-15,C,email@example.com,(098) 765-4321
 ivy ,25,70000,Other,Finance,Assistant,2020-01-15,C,name@company.org,(123) 456-7890
 david ,50,65000,Male,HR,Analyst,2020-01-15,C,user@domain.com,(555) 555-5555
 ivy ,50,70000,Other,Finance,Clerk,2020-01-15,B,user@domain.com,(098) 765-4321
 jack ,50,55000,Male,IT,Analyst,2020-01-15,B,name@company.org,Invalid
 david ,40,SIXTY THOUSAND,Other,HR,Assistant,2020-01-15,D,user@domain.com,(555) 555-5555
 david ,25,50000,Male,IT,Director,2020-01-15,D,name@company.org,(123) 456-7890
 alice ,40, NAN ,Female,HR,Assistant,2020-01-15,C,name@company.org,(098) 765-4321
 ivy ,40,70000,Male,Sales,Director,2020-01-15,F,email@example.com,Invalid
 david ,40,70000,Male,Sales,Assistant,2020-01-15,C,user@domain.com,(098) 765-4321
 alice ,thirty,55000,Male,Finance,Analyst,2020-01-15,A,user@domain.com,(555) 555-5555
 alice ,25,50000,Female,Sales,Analyst,2020-01-15,B,email@example.com,(098) 765-4321
 frank ,50,50000,Male,Marketing,Manager,2020-01-15,A,name@company.org,Invalid
 alice ,35,65000,Female,IT,Assistant,2020-01-15,D,name@company.org,(555) 555-5555
 david ,50, NAN ,Male,Finance,Director,2020-01-15,B,user@domain.com,Invalid
 grace ,50,50000,Other,Marketing,Manager,2020-01-15,A,email@example.com,Invalid
 grace ,35,55000,Male,IT,Clerk,2020-01-15,C,email@example.com,(123) 456-7890
 alice ,40, NAN ,Male,Sales,Assistant,2020-01-15,F,name@company.org,(555) 555-5555
 hannah ,40,SIXTY THOUSAND,Other,Marketing,Assistant,2020-01-15,D,email@example.com,(098) 765-4321
 david ,50,70000,Other,HR,Assistant,2020-01-15,F,user@domain.com,Invalid
 ivy ,25,50000,Male,IT,Director,2020-01-15,B,name@company.org,Invalid
 bob ,50,65000,Female,Sales,Manager,2020-01-15,B,email@example.com,(098) 765-4321
 frank ,25,50000,Female,Finance,Clerk,2020-01-15,B,user@domain.com,(098) 765-4321
